z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0.0086,0.9915,32.7527,0.2676,35.5255,40.1843,31.4068,4.3887,2578.2112
0.0086,0.9915,32.7223,0.3834,35.0316,41.7971,29.3612,6.218,2578.2112
0.0086,0.9914,32.3744,0.3383,29.8456,34.8775,25.5397,4.6689,2578.2112
0.0086,0.9914,32.3945,0.3313,30.1231,35.088,25.8607,4.6137,2578.2112
0.0086,0.9914,32.335,0.3379,29.3089,34.2433,25.0856,4.5789,2578.2112
0.0086,0.9914,32.4198,0.4252,30.4761,37.0684,25.0563,6.0061,2578.2112
0.0088,0.9912,32.8616,0.327,37.3525,43.4237,32.1302,5.6468,2638.1696
0.0091,0.991,32.799,0.3689,36.2911,43.0102,30.6216,6.1943,2728.1072
0.0091,0.991,32.7498,0.4095,35.4781,42.8415,29.3802,6.7307,2728.1072
0.0093,0.9908,32.8914,0.2864,37.8687,43.2081,33.1891,5.0095,2788.0656
0.0093,0.9908,32.8973,0.2829,37.9717,43.2547,33.3339,4.9604,2788.0656
0.0093,0.9908,32.9159,0.2855,38.2983,43.6798,33.5799,5.05,2788.0656
0.0094,0.9907,32.3353,0.4014,29.313,35.2641,24.3661,5.449,2818.0448
0.0095,0.9906,33.0399,0.269,40.549,45.8961,35.8248,5.0357,2848.024
0.0095,0.9906,33.2135,0.2536,43.9238,49.3658,39.0818,5.142,2848.024
0.0095,0.9906,33.2309,0.2519,44.2772,49.7234,39.4275,5.148,2848.024
0.0095,0.9906,33.2469,0.2549,44.6046,50.1599,39.6646,5.2477,2848.024
0.0096,0.9905,32.901,0.3095,38.0365,43.8641,32.983,5.4406,2878.0032
0.0096,0.9905,32.8654,0.3345,37.418,43.6493,32.0762,5.7866,2878.0032
0.0097,0.9904,32.8029,0.3579,36.3563,42.8704,30.832,6.0192,2907.9824
0.0097,0.9904,32.9165,0.3728,38.3089,45.4848,32.2652,6.6098,2907.9824
0.0099,0.9902,33.4753,0.3729,49.5519,58.835,41.7334,8.5508,2967.9408
0.01,0.9901,32.6457,0.4091,33.8174,40.828,28.0106,6.4087,2997.92
0.01,0.9901,32.7458,0.3603,35.4128,41.8041,29.9986,5.9028,2997.92
0.01,0.9901,32.9015,0.334,38.0452,44.3712,32.6211,5.875,2997.92
0.0102,0.9899,32.7794,0.3485,35.965,42.2269,30.6317,5.7976,3057.8784
0.0102,0.9899,32.9182,0.3652,38.3389,45.3612,32.4038,6.4787,3057.8784
0.0102,0.9899,32.9674,0.3419,39.2175,45.9045,33.5046,6.2,3057.8784
0.0103,0.9898,33.3378,0.3063,46.5115,53.5573,40.3925,6.5824,3087.8576
0.0103,0.9898,33.2253,0.2991,44.1631,50.6847,38.4807,6.102,3087.8576
0.0103,0.9898,33.2788,0.248,45.2647,50.74,40.3803,5.1798,3087.8576
0.0104,0.9897,33.1236,0.3172,42.1425,48.7714,36.4145,6.1784,3117.8368
0.0104,0.9897,33.0869,0.3439,41.4362,48.5471,35.3669,6.5901,3117.8368
0.0106,0.9895,33.3806,0.309,47.4373,54.6917,41.1451,6.7733,3177.7952
0.0106,0.9895,33.2931,0.2746,45.5638,51.7052,40.1519,5.7766,3177.7952
0.0107,0.9894,33.1081,0.3647,41.8427,49.4941,35.3742,7.06,3207.7744
0.0108,0.9893,33.0683,0.324,41.0828,47.6939,35.3881,6.1529,3237.7536
0.0108,0.9893,33.1809,0.378,43.2693,51.496,36.3568,7.5696,3237.7536
0.011,0.9892,33.5709,0.3149,51.7821,59.8621,44.7928,7.5346,3297.712
0.0111,0.989,33.7337,0.3425,55.8136,65.3488,47.6697,8.8395,3327.6912
0.0111,0.989,33.6369,0.2952,53.3802,61.1539,46.5946,7.2796,3327.6912
0.0112,0.9889,33.8347,0.3539,58.4709,68.8211,49.6773,9.5719,3357.6704
0.0112,0.9889,33.4336,0.2834,48.6094,55.3866,42.6614,6.3626,3357.6704
0.0112,0.9889,33.4947,0.3252,49.9965,58.073,43.0433,7.5149,3357.6704
0.0116,0.9886,33.5833,0.2812,52.0787,59.278,45.7537,6.7622,3477.5872
0.012,0.9882,33.4974,0.3015,50.0587,57.5149,43.5692,6.9729,3597.504
0.0121,0.988,33.8783,0.3464,59.6568,69.9739,50.8609,9.5565,3627.4832
0.0122,0.9879,33.7023,0.2667,55.0123,62.2004,48.6549,6.7727,3657.4624
0.0123,0.9878,33.7403,0.2541,55.9835,62.9342,49.8004,6.5669,3687.4416
0.0125,0.9877,33.8286,0.2651,58.3069,65.8784,51.6056,7.1364,3747.4
0.0126,0.9876,33.708,0.2408,55.1569,61.6243,49.3683,6.128,3777.3792
0.0126,0.9876,33.7246,0.2501,55.5802,62.3648,49.5337,6.4156,3777.3792
0.0126,0.9876,33.5874,0.2601,52.1771,58.8155,46.288,6.2638,3777.3792
0.0126,0.9876,33.5178,0.2662,50.5312,57.1213,44.7015,6.2099,3777.3792
0.0128,0.9874,33.7492,0.4167,56.2134,68.1038,46.399,10.8524,3837.3376
0.0128,0.9873,33.6365,0.2874,53.3703,60.9222,46.7546,7.0838,3837.3376
0.0128,0.9873,33.5028,0.3311,50.1834,58.45,43.0859,7.6821,3837.3376
0.013,0.9871,33.7355,0.2398,55.8599,62.3816,50.02,6.1808,3897.296
0.013,0.9871,33.7607,0.2872,56.5119,64.5036,49.5104,7.4966,3897.296
0.013,0.9871,33.5752,0.2926,51.8848,59.3681,45.3448,7.0116,3897.296
0.013,0.9871,33.5673,0.2848,51.6964,58.941,45.3422,6.7994,3897.296
0.0131,0.987,33.52,0.2735,50.5825,57.373,44.5957,6.3886,3927.2752
0.0131,0.987,33.4717,0.2616,49.4698,55.8033,43.8551,5.9741,3927.2752
0.0133,0.9869,33.9682,0.3037,62.1785,71.5119,54.0632,8.7244,3987.2336
0.0133,0.9869,33.9846,0.2994,62.6498,71.9117,54.5808,8.6655,3987.2336
